"No.","Time","Source","Destination","Protocol","Length","Info"
"847","2.668443","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"848","2.668514","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"849","2.668548","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"850","2.668607","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"851","2.674339","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"852","2.674417","192.168.8.117","66.22.238.13","UDP","1230","59318  >  50003 Len=1188"
"853","2.677652","66.22.238.4","192.168.8.117","UDP","341","50020  >  57430 Len=299"
"854","2.697611","192.168.8.117","66.22.238.13","UDP","1129","59318  >  50003 Len=1087"
"855","2.697710","192.168.8.117","66.22.238.13","UDP","1129","59318  >  50003 Len=1087"
"856","2.697732","192.168.8.117","66.22.238.13","UDP","1129","59318  >  50003 Len=1087"
"857","2.697751","192.168.8.117","66.22.238.13","UDP","1129","59318  >  50003 Len=1087"
"858","2.697767","192.168.8.117","66.22.238.13","UDP","1129","59318  >  50003 Len=1087"
"859","2.703328","192.168.8.117","66.22.238.4","RTCP","102","Sender Report   "
"860","2.703413","192.168.8.117","66.22.238.13","UDP","1130","59318  >  50003 Len=1088"
"861","2.705753","66.22.238.4","192.168.8.117","UDP","339","50020  >  57430 Len=297"
"862","2.716511","95.101.213.243","192.168.8.117","TCP","54","443  >  49488 [RST] Seq=1 Win=501 Len=0"
"863","2.727180","66.22.238.4","192.168.8.117","UDP","325","50020  >  57430 Len=283"
"864","2.732527","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"865","2.732611","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"866","2.732632","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"867","2.732650","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"868","2.732697","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"869","2.737575","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"870","2.737695","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"871","2.737722","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"872","2.737741","192.168.8.117","66.22.238.13","UDP","1199","59318  >  50003 Len=1157"
"873","2.743645","192.168.8.117","66.22.238.13","UDP","1200","59318  >  50003 Len=1158"
"874","2.743750","192.168.8.117","66.22.238.13","UDP","1200","59318  >  50003 Len=1158"
"875","2.745457","66.22.238.4","192.168.8.117","UDP","320","50020  >  57430 Len=278"
"876","2.764135","192.168.8.117","66.22.238.13","RTCP","102","Sender Report   "
"877","2.765122","192.168.8.117","66.22.238.13","UDP","1207","59318  >  50003 Len=1165"
"878","2.765170","192.168.8.117","66.22.238.13","UDP","1207","59318  >  50003 Len=1165"
"879","2.765190","192.168.8.117","66.22.238.13","UDP","1207","59318  >  50003 Len=1165"
"880","2.765208","192.168.8.117","66.22.238.13","UDP","1207","59318  >  50003 Len=1165"
"881","2.765226","192.168.8.117","66.22.238.13","UDP","1207","59318  >  50003 Len=1165"
"882","2.765243","192.168.8.117","66.22.238.13","UDP","1207","59318  >  50003 Len=1165"
"883","2.767787","66.22.238.4","192.168.8.117","UDP","345","50020  >  57430 Len=303"
"884","2.770022","192.168.8.117","66.22.238.13","UDP","1208","59318  >  50003 Len=1166"
"885","2.770130","192.168.8.117","66.22.238.13","UDP","1208","59318  >  50003 Len=1166"
"886","2.770151","192.168.8.117","66.22.238.13","UDP","1208","59318  >  50003 Len=1166"
"887","2.770183","192.168.8.117","66.22.238.13","UDP","1208","59318  >  50003 Len=1166"
"888","2.782759","66.22.238.4","192.168.8.117","UDP","341","50020  >  57430 Len=299"
"889","2.787438","66.22.238.13","192.168.8.117","UDP","118","50003  >  59318 Len=76"
"890","2.802584","192.168.8.117","66.22.238.13","UDP","1122","59318  >  50003 Len=1080"
"891","2.802674","192.168.8.117","66.22.238.13","UDP","1122","59318  >  50003 Len=1080"
"892","2.802701","192.168.8.117","66.22.238.13","UDP","1122","59318  >  50003 Len=1080"
"893","2.802720","192.168.8.117","66.22.238.13","UDP","1122","59318  >  50003 Len=1080"
"894","2.802737","192.168.8.117","66.22.238.13","UDP","1122","59318  >  50003 Len=1080"
"895","2.807696","192.168.8.117","66.22.238.13","UDP","1123","59318  >  50003 Len=1081"
"896","2.807761","192.168.8.117","66.22.238.13","UDP","1123","59318  >  50003 Len=1081"
"897","2.807910","66.22.238.4","192.168.8.117","UDP","333","50020  >  57430 Len=291"
"898","2.820621","66.22.238.4","192.168.8.117","UDP","335","50020  >  57430 Len=293"
"899","2.835570","192.168.8.117","66.22.238.13","UDP","1223","59318  >  50003 Len=1181"
"900","2.835693","192.168.8.117","66.22.238.13","UDP","1224","59318  >  50003 Len=1182"
"901","2.835747","192.168.8.117","66.22.238.13","UDP","1224","59318  >  50003 Len=1182"
"902","2.835789","192.168.8.117","66.22.238.13","UDP","1224","59318  >  50003 Len=1182"
"903","2.835842","192.168.8.117","66.22.238.13","UDP","1224","59318  >  50003 Len=1182"
"904","2.850682","66.22.238.4","192.168.8.117","UDP","334","50020  >  57430 Len=292"
"905","2.852585","192.168.8.117","66.22.238.13","RTCP","102","Sender Report   "
"906","2.864881","66.22.238.4","192.168.8.117","UDP","329","50020  >  57430 Len=287"
"907","2.869390","192.168.8.117","66.22.238.13","UDP","1059","59318  >  50003 Len=1017"
"908","2.869556","192.168.8.117","66.22.238.13","UDP","1059","59318  >  50003 Len=1017"
"909","2.869605","192.168.8.117","66.22.238.13","UDP","1060","59318  >  50003 Len=1018"
"910","2.869661","192.168.8.117","66.22.238.13","UDP","1060","59318  >  50003 Len=1018"
"911","2.869699","192.168.8.117","66.22.238.13","UDP","1060","59318  >  50003 Len=1018"
"912","2.880104","66.22.238.4","192.168.8.117","RTCP","94","Receiver Report   "
"913","2.886753","66.22.238.4","192.168.8.117","UDP","345","50020  >  57430 Len=303"
"914","2.887952","66.22.238.13","192.168.8.117","UDP","118","50003  >  59318 Len=76"
"915","2.901768","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"916","2.901884","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"917","2.901947","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"918","2.901999","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"919","2.902035","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"920","2.903887","66.22.238.4","192.168.8.117","UDP","339","50020  >  57430 Len=297"
"921","2.907261","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"922","2.907367","192.168.8.117","66.22.238.13","UDP","1205","59318  >  50003 Len=1163"
"923","2.907392","192.168.8.117","66.22.238.13","UDP","1206","59318  >  50003 Len=1164"
"924","2.907416","192.168.8.117","66.22.238.13","UDP","1206","59318  >  50003 Len=1164"
"925","2.907436","192.168.8.117","66.22.238.13","UDP","1206","59318  >  50003 Len=1164"
"926","2.918333","192.168.8.117","66.22.238.13","RTCP","118","Sender Report   "
"927","2.921229","66.22.238.4","192.168.8.117","UDP","324","50020  >  57430 Len=282"
"928","2.934308","192.168.8.117","66.22.238.13","UDP","1164","59318  >  50003 Len=1122"
"929","2.934426","192.168.8.117","66.22.238.13","UDP","1164","59318  >  50003 Len=1122"
"930","2.934451","192.168.8.117","66.22.238.13","UDP","1164","59318  >  50003 Len=1122"
"931","2.934471","192.168.8.117","66.22.238.13","UDP","1164","59318  >  50003 Len=1122"
"932","2.934489","192.168.8.117","66.22.238.13","UDP","1164","59318  >  50003 Len=1122"
"933","2.939538","192.168.8.117","66.22.238.13","UDP","1164","59318  >  50003 Len=1122"
"934","2.939604","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"935","2.939627","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"936","2.939645","192.168.8.117","66.22.238.13","UDP","1165","59318  >  50003 Len=1123"
"937","2.942615","66.22.238.4","192.168.8.117","UDP","328","50020  >  57430 Len=286"
"938","2.965591","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"939","2.965685","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"940","2.965712","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"941","2.965732","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"942","2.965753","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"943","2.970322","66.22.238.4","192.168.8.117","UDP","334","50020  >  57430 Len=292"
"944","2.971599","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"945","2.971682","192.168.8.117","66.22.238.13","UDP","1229","59318  >  50003 Len=1187"
"946","2.986479","66.22.238.4","192.168.8.117","UDP","334","50020  >  57430 Len=292"
"947","2.990349","66.22.238.13","192.168.8.117","UDP","106","50003  >  59318 Len=64"
